"ensembl"	"hgnc_symbol"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Entrez"
"ENSG00000197646"	"ENSG00000197646"	"PDCD1LG2"	166,193435833429	2,78388169065842	0,297633197974111	8,27824888967103	1,24999757379902e-16	1,97906592614505e-14	"80380"
"ENSG00000141510"	"ENSG00000141510"	"TP53"	1201,07019530477	-1,36354796939311	0,126173008611591	-8,270770277069	1,33096283814129e-16	2,08303333380825e-14	"7157"
"ENSG00000175040"	"ENSG00000175040"	"CHST2"	1053,88189969873	1,72565256329206	0,170808748616043	8,22939442318492	1,88162253864951e-16	2,91138323707406e-14	"9435"
"ENSG00000135925"	"ENSG00000135925"	"WNT10A"	364,645064717046	-1,9002525544556	0,192372849410919	-8,21453006125668	2,12996735485495e-16	3,25861073075337e-14	"80326"
"ENSG00000134668"	"ENSG00000134668"	"SPOCD1"	478,574169571316	1,96659995567931	0,200631205600872	8,20709794743993	2,26598709177862e-16	3,42818669351752e-14	"90853"
"ENSG00000153404"	"ENSG00000153404"	"PLEKHG4B"	528,328739256104	2,38206427474855	0,251629822601844	8,19483260539977	2,50942142800485e-16	3,75475628172681e-14	"153478"
"ENSG00000088367"	"ENSG00000088367"	"EPB41L1"	3014,41290919265	-1,47891225920406	0,142399534344012	-8,13845539975105	4,00352472748826e-16	5,92521659668262e-14	"2036"
"ENSG00000111912"	"ENSG00000111912"	"NCOA7"	1395,42171023463	-1,26598652380609	0,116792053536299	-8,0997507549782	5,50719009857156e-16	8,06300004109143e-14	"135112"
"ENSG00000124225"	"ENSG00000124225"	"PMEPA1"	1281,82421435691	1,40354853385518	0,134658631477958	8,04663259950435	8,51031725626737e-16	1,23272850809932e-13	"56937"
"ENSG00000131747"	"ENSG00000131747"	"TOP2A"	3575,97252134876	-1,12164465399672	0,100029555342142	-8,01407795180898	1,10966316051054e-15	1,57387224932412e-13	"7153"
"ENSG00000160179"	"ENSG00000160179"	"ABCG1"	199,205683207592	-2,30654860078737	0,247865082570777	-8,01463675392891	1,10462991947683e-15	1,57387224932412e-13	"9619"
"ENSG00000137959"	"ENSG00000137959"	"IFI44L"	2805,97982830573	-1,47542867256085	0,144770629031712	-7,98109865439453	1,45036483216309e-15	2,03589356234357e-13	"10964"
"ENSG00000132530"	"ENSG00000132530"	"XAF1"	2337,94940721124	-1,73813591524655	0,17809609995328	-7,96275671178971	1,68248068200352e-15	2,33761805777142e-13	"54739"
"ENSG00000100345"	"ENSG00000100345"	"MYH9"	24211,2922937009	1,44595634757781	0,142024076980812	7,92792582436521	2,22836336098751e-15	3,06478742658646e-13	"4627"
"ENSG00000071127"	"ENSG00000071127"	"WDR1"	5713,41961552164	1,29462534389088	0,12313491665878	7,91510134035886	2,47051777702748e-15	3,36385700520062e-13	"9948"
"ENSG00000049246"	"ENSG00000049246"	"PER3"	998,933399587681	-1,48458354209445	0,147806836972356	-7,87909115673894	3,29770856352239e-15	4,44570295058623e-13	"8863"
"ENSG00000137628"	"ENSG00000137628"	"DDX60"	2459,83830370232	-1,350107744195	0,130998931431579	-7,86348203712656	3,73599943275365e-15	4,98719296827193e-13	"55601"
"ENSG00000188766"	"ENSG00000188766"	"SPRED3"	155,124450189668	2,55613890399863	0,285260768713498	7,83892897044142	4,54405482254467e-15	6,00697577318138e-13	"399473"
"ENSG00000171873"	"ENSG00000171873"	"ADRA1D"	198,341363056989	2,3110523059684	0,254882892847185	7,81163570346849	5,64505256822641e-15	7,3906765162472e-13	"146"
"ENSG00000205413"	"ENSG00000205413"	"SAMD9"	3949,70171685843	-1,40042000483158	0,138768302956718	-7,78578379796547	6,9282338403265e-15	8,98426971141768e-13	"54809"
"ENSG00000130513"	"ENSG00000130513"	"GDF15"	801,542292924938	-1,94148024011923	0,208920139106121	-7,76124430635	8,41001335319097e-15	1,08029001714197e-12	"9518"
"ENSG00000169213"	"ENSG00000169213"	"RAB3B"	133,649637324247	2,72013732853217	0,310417572870637	7,73196345276626	1,05900350771315e-14	1,34760670663759e-12	"5865"
"ENSG00000146859"	"ENSG00000146859"	"TMEM140"	162,98861405286	-2,84054584806751	0,326135699077623	-7,72851869695994	1,08805205517908e-14	1,37175155401096e-12	"55281"
"ENSG00000121858"	"ENSG00000121858"	"TNFSF10"	946,972107097671	-2,11110122219634	0,232690330546938	-7,6973599117177	1,38906240903684e-14	1,73518107903171e-12	"8743"
"ENSG00000018408"	"ENSG00000018408"	"WWTR1"	1971,3425762605	1,15313386103823	0,108288020316454	7,69368447778006	1,42957338702395e-14	1,76955193070164e-12	"25937"
"ENSG00000132359"	"ENSG00000132359"	"RAP1GAP2"	455,695079332005	2,34487707077305	0,264051019811627	7,66850691285943	1,74009985359472e-14	2,13452248707619e-12	"23108"
"ENSG00000106003"	"ENSG00000106003"	"LFNG"	366,972027451318	-1,72320251019885	0,183072418022047	-7,66474013594918	1,79193641291683e-14	2,17848269627461e-12	"3955"
"ENSG00000179094"	"ENSG00000179094"	"PER1"	448,742911742684	-1,61564567762899	0,169114489066689	-7,6613522873138	1,83985406863764e-14	2,21694274323629e-12	"5187"
"ENSG00000138756"	"ENSG00000138756"	"BMP2K"	1025,46914541885	1,49438745832672	0,153428076818133	7,65431909648967	1,94339173772763e-14	2,32115981586837e-12	"55589"
"ENSG00000177409"	"ENSG00000177409"	"SAMD9L"	546,893109990477	-1,77437418981851	0,190881325774948	-7,61925863577267	2,55136799210127e-14	3,0208197026479e-12	"219285"
"ENSG00000167460"	"ENSG00000167460"	"TPM4"	12797,275533208	1,31369727977892	0,1311048074503	7,57941145793315	3,47126002964525e-14	4,07454108307325e-12	"7171"
"ENSG00000169435"	"ENSG00000169435"	"RASSF6"	235,730845527894	-2,00785848378031	0,22302482664827	-7,5680295738654	3,78927736779067e-14	4,40981202049895e-12	"166824"
"ENSG00000052749"	"ENSG00000052749"	"RRP12"	1637,04318590835	1,2285160058878	0,120194830422131	7,55869451869965	4,07134813347663e-14	4,69792171062863e-12	"23223"
"ENSG00000138675"	"ENSG00000138675"	"FGF5"	422,421725823935	1,85775338518134	0,204183548828254	7,53123057173816	5,02643389007354e-14	5,75125410481019e-12	"2250"
