"ensembl"	"hgnc_symbol"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSG00000180340"	"ENSG00000180340"	"FZD2"	385,756572370272	-1,53283050303928	0,157295040405821	-7,71054509989744	1,25281470624242e-14	1,87200475725159e-12
"ENSG00000171608"	"ENSG00000171608"	"PIK3CD"	365,897728266756	1,64851629558443	0,172569506820549	7,69844174710381	1,37735498433047e-14	2,03596763113882e-12
"ENSG00000198826"	"ENSG00000198826"	"ARHGAP11A"	802,037379683688	-1,23213058519849	0,1185271091094	-7,69554401564459	1,40893418806551e-14	2,06049130673793e-12
"ENSG00000176153"	"ENSG00000176153"	"GPX2"	72,4177566744297	-3,40144905982748	0,401483259086005	-7,67516201508013	1,65209706447896e-14	2,39067140477814e-12
"ENSG00000133639"	"ENSG00000133639"	"BTG1"	11969,7366362862	0,864129240105925	0,0710137678085382	7,6623062949281	1,82623454304755e-14	2,61512981909111e-12
"ENSG00000169607"	"ENSG00000169607"	"CKAP2L"	144,170650046725	-2,26083293117532	0,253429959032902	-7,65826163008354	1,88466648917628e-14	2,67098043574293e-12
"ENSG00000171488"	"ENSG00000171488"	"LRRC8C"	2407,20684609724	1,01837879881004	0,0913325414500087	7,64654949618699	2,0644401911734e-14	2,8959040110266e-12
"ENSG00000146670"	"ENSG00000146670"	"CDCA5"	336,337378026272	-1,65119708722161	0,174804714785191	-7,61533857286086	2,63001150529049e-14	3,65199678416449e-12
"ENSG00000168522"	"ENSG00000168522"	"FNTA"	2984,36336579046	0,885172589026644	0,0742426276007509	7,61250789864188	2,6882776008697e-14	3,69557521791558e-12
"ENSG00000108679"	"ENSG00000108679"	"LGALS3BP"	332,796636008926	-1,73046998702786	0,185651396661304	-7,59741112856303	3,02113555374329e-14	4,11203469874347e-12
"ENSG00000011426"	"ENSG00000011426"	"ANLN"	1830,32480840675	-0,968866806335124	0,0854945735273259	-7,58956714519117	3,20975912780921e-14	4,32593713039149e-12
"ENSG00000072364"	"ENSG00000072364"	"AFF4"	6675,47358708489	0,890179004992859	0,0752938399543968	7,57271783904499	3,65495601179713e-14	4,87812430040536e-12
"ENSG00000047365"	"ENSG00000047365"	"ARAP2"	124,098211293047	2,52659759138651	0,291481767170923	7,57027656584975	3,72430480173711e-14	4,90741460742828e-12
"ENSG00000237649"	"ENSG00000237649"	"KIFC1"	131,522547812142	-2,3581264503463	0,269257147443928	-7,56944233307953	3,74829805615748e-14	4,90741460742828e-12
"ENSG00000205213"	"ENSG00000205213"	"LGR4"	1414,93337966703	-1,28514574794944	0,128304323399826	-7,52231664822254	5,38140563658847e-14	6,9790738949228e-12
"ENSG00000165092"	"ENSG00000165092"	"ALDH1A1"	7901,51552290019	-1,56051166145984	0,165190751346263	-7,50957091332284	5,9321478022487e-14	7,62142391004793e-12
"ENSG00000099282"	"ENSG00000099282"	"TSPAN15"	402,915871438425	-1,65952059832435	0,179098776357156	-7,47922808614333	7,47604238862904e-14	9,51603284411883e-12
"ENSG00000064393"	"ENSG00000064393"	"HIPK2"	2682,47460568743	0,941147658321576	0,083787182259898	7,41339715178449	1,23104518737113e-13	1,54078051754135e-11
"ENSG00000139289"	"ENSG00000139289"	"PHLDA1"	10610,6694758839	0,911762300306121	0,0798255055216411	7,413198280914	1,23289340895867e-13	1,54078051754135e-11
"ENSG00000155090"	"ENSG00000155090"	"KLF10"	7626,59404788267	0,80968184527036	0,0661031367725902	7,40784581758921	1,28367417101052e-13	1,58978998458393e-11
"ENSG00000117650"	"ENSG00000117650"	"NEK2"	112,881075698707	-2,48078042634449	0,291868659805585	-7,40326291895746	1,32878290610773e-13	1,63096237591634e-11
"ENSG00000145040"	"ENSG00000145040"	"UCN2"	334,452650714559	1,60477172493052	0,173836983800366	7,39066967709211	1,46091139842392e-13	1,7772698224897e-11
"ENSG00000185630"	"ENSG00000185630"	"PBX1"	416,587765553517	-1,60957902927938	0,174739717980381	-7,37999948829134	1,58290140821196e-13	1,90878470690261e-11
"ENSG00000108510"	"ENSG00000108510"	"MED13"	8446,05524770833	0,797962490432287	0,0648689822574413	7,36812069188057	1,73050091175288e-13	2,06862574207538e-11
"ENSG00000149948"	"ENSG00000149948"	"HMGA2"	1797,70318177316	1,09442344220525	0,10550932543352	7,33985777108585	2,1382095432938e-13	2,53396263721206e-11
"ENSG00000163762"	"ENSG00000163762"	"TM4SF18"	442,170527319875	-1,34960438707187	0,140548490818692	-7,32561681078503	2,37802386703046e-13	2,79407641880921e-11
"ENSG00000206538"	"ENSG00000206538"	"VGLL3"	1135,60037083408	1,18134327934745	0,117790520893073	7,31250080920645	2,62215699385906e-13	3,05481289784581e-11
"ENSG00000130402"	"ENSG00000130402"	"ACTN4"	16084,1103242159	-0,832286416855493	0,0702050105428777	-7,29700647993798	2,94240629248563e-13	3,39909742040336e-11
"ENSG00000112742"	"ENSG00000112742"	"TTK"	241,543592118658	-1,7892878319605	0,201489863177078	-7,29211787031305	3,05120028476809e-13	3,46651655493446e-11
"ENSG00000135476"	"ENSG00000135476"	"ESPL1"	102,215747086801	-2,78317286739942	0,337759458731995	-7,29268360580211	3,03841068086193e-13	3,46651655493446e-11
"ENSG00000146592"	"ENSG00000146592"	"CREB5"	1540,37615221643	1,09281758857088	0,106274292495554	7,2719146881473	3,54427420299752e-13	3,99369979250876e-11
"ENSG00000101236"	"ENSG00000101236"	"RNF24"	1115,12595076748	1,07314863018887	0,103714329392647	7,26176059373211	3,82084028202232e-13	4,27033263064722e-11
"ENSG00000138756"	"ENSG00000138756"	"BMP2K"	821,39437716555	1,15023339069877	0,114881295376083	7,22688047676403	4,94214694069632e-13	5,47900758014132e-11
"ENSG00000159216"	"ENSG00000159216"	"RUNX1"	3562,43773020218	0,860348489256654	0,0749784796221331	7,2067144063181	5,73180428558848e-13	6,30360908111879e-11
"ENSG00000008294"	"ENSG00000008294"	"SPAG9"	12995,7401516205	0,803982455061404	0,0672391312001552	7,19792844468352	6,11342098468837e-13	6,66993637115166e-11
"ENSG00000137673"	"ENSG00000137673"	"MMP7"	170,754024730073	-1,92800619378859	0,223689923164847	-7,18854998489842	6,54830143129033e-13	7,08814958865734e-11
"ENSG00000131471"	"ENSG00000131471"	"AOC3"	275,32730267773	1,73117780030479	0,197122081103865	7,1589027084248	8,13253752488492e-13	8,73421823082758e-11
"ENSG00000188211"	"ENSG00000188211"	"NCR3LG1"	564,010257845167	1,26413738701357	0,132829353708344	7,10789716771963	1,17824291199386e-12	1,25560506288214e-10
"ENSG00000124225"	"ENSG00000124225"	"PMEPA1"	6256,95829764542	1,03001386368848	0,100419013166237	7,07051225959668	1,54362796288654e-12	1,63232720044625e-10
"ENSG00000157456"	"ENSG00000157456"	"CCNB2"	305,379680660495	-1,59420475236146	0,180323956393427	-7,06619784662126	1,59236344894403e-12	1,67100918569722e-10
"ENSG00000134013"	"ENSG00000134013"	"LOXL2"	677,905196115467	-1,19323808978888	0,1239204807919	-7,04676163462686	1,83129626750638e-12	1,90718407495532e-10
"ENSG00000163293"	"ENSG00000163293"	"NIPAL1"	289,626962035466	1,56895565302245	0,178337210723258	7,00333737394025	2,49935993124185e-12	2,58336097554749e-10
"ENSG00000006459"	"ENSG00000006459"	"KDM7A"	1118,25897095756	1,11376218227389	0,113469401299714	6,99538530371963	2,64530917723516e-12	2,71381084025759e-10
"ENSG00000134107"	"ENSG00000134107"	"BHLHE40"	13185,3380053951	0,845699829380751	0,0751842720427772	6,99215161758362	2,70702094900572e-12	2,75654940636901e-10
"ENSG00000075218"	"ENSG00000075218"	"GTSE1"	95,4660824147184	-2,4476851880463	0,305954442706354	-6,95425491856114	3,54430212726277e-12	3,58261186349127e-10
"ENSG00000124145"	"ENSG00000124145"	"SDC4"	4392,53855112468	0,84037354449239	0,0749059325128513	6,94702711835424	3,73064012025529e-12	3,74343866665325e-10
"ENSG00000198018"	"ENSG00000198018"	"ENTPD7"	938,501269790662	1,10068814573063	0,112583026526915	6,93433255273159	4,08143518795627e-12	4,06576011078513e-10
"ENSG00000213626"	"ENSG00000213626"	"LBH"	1692,90113902983	0,99168181566271	0,0969486505597512	6,92822243305739	4,26161322518356e-12	4,21470482061859e-10
"ENSG00000080345"	"ENSG00000080345"	"RIF1"	4097,88548477335	0,912246549539157	0,0855816223338383	6,9202538277308	4,50835111785879e-12	4,42687877265749e-10
"ENSG00000140416"	"ENSG00000140416"	"TPM1"	1923,37129609724	-0,915619442679806	0,0865401298692419	-6,88258087409574	5,87777746864525e-12	5,69026808883566e-10
"ENSG00000171223"	"ENSG00000171223"	"JUNB"	5937,46386356624	0,959625802065175	0,0929248130334898	6,88326165191913	5,8497437274934e-12	5,69026808883566e-10
"ENSG00000169604"	"ENSG00000169604"	"ANTXR1"	1014,1411376698	-1,18880655878614	0,12647999611373	-6,86912227610215	6,4598119652449e-12	6,21000245358193e-10
"ENSG00000083223"	"ENSG00000083223"	"TUT7"	2463,0741854224	0,917513967091519	0,0876072151155789	6,82037394184062	9,08038363087547e-12	8,66861345650313e-10
"ENSG00000171246"	"ENSG00000171246"	"NPTX1"	742,836781302779	1,30551542001564	0,144865931894398	6,80294812678278	1,02499563942712e-11	9,71766555531354e-10
"ENSG00000074755"	"ENSG00000074755"	"ZZEF1"	8322,73186453834	0,800292762153801	0,0706769552415297	6,79560629787263	1,07857955437935e-11	1,01075861164309e-09
"ENSG00000180667"	"ENSG00000180667"	"YOD1"	1643,55045163426	0,941963139250621	0,0915283489385375	6,79530600588325	1,08082866015519e-11	1,01075861164309e-09
"ENSG00000145734"	"ENSG00000145734"	"BDP1"	4942,22382523151	0,848818461084747	0,0779425654199	6,78471972581147	1,16312089470613e-11	1,08036641483278e-09
"ENSG00000115977"	"ENSG00000115977"	"AAK1"	2584,78426537451	0,855294453546968	0,0789408762195271	6,78095404031702	1,19384855040587e-11	1,10146550486104e-09
"ENSG00000149503"	"ENSG00000149503"	"INCENP"	163,080198492551	-1,83394522032734	0,223727011370914	-6,76693087280996	1,3154288573145e-11	1,20554670010016e-09
"ENSG00000170802"	"ENSG00000170802"	"FOXN2"	1506,40979506932	0,968384119338784	0,0961912673030275	6,74057154581616	1,57764794002379e-11	1,43628650539782e-09
"ENSG00000134690"	"ENSG00000134690"	"CDCA8"	214,997477531652	-1,78425986279533	0,21729701076002	-6,73851820452534	1,60010013264045e-11	1,44714319232949e-09
"ENSG00000087586"	"ENSG00000087586"	"AURKA"	553,970842671727	-1,1928454276358	0,129761073658027	-6,72655830465848	1,73723056633755e-11	1,56089598663022e-09
"ENSG00000169083"	"ENSG00000169083"	"AR"	446,56946706952	-1,4486088300479	0,168334748379286	-6,70455055129175	2,02027209175277e-11	1,80342080813801e-09
"ENSG00000010292"	"ENSG00000010292"	"NCAPD2"	906,656989832544	-1,08462769516849	0,114331221261788	-6,68782933244186	2,26505065226622e-11	2,00888073010992e-09
"ENSG00000166250"	"ENSG00000166250"	"CLMP"	191,591039334862	1,73842518858195	0,212411374959519	6,67772707018288	2,42676434738103e-11	2,13850830022096e-09
"ENSG00000173166"	"ENSG00000173166"	"RAPH1"	1062,05410843964	1,02379838629302	0,105539002007585	6,66860945153185	2,58238429261742e-11	2,26114884526189e-09
"ENSG00000140525"	"ENSG00000140525"	"FANCI"	155,881151265063	-1,90914188933035	0,238473183638352	-6,66381798190066	2,66803870509044e-11	2,32136253663786e-09
"ENSG00000135451"	"ENSG00000135451"	"TROAP"	57,0221986669042	-3,31807726856805	0,450164628351184	-6,65995744612165	2,73906879783661e-11	2,36817476502264e-09
"ENSG00000205903"	"ENSG00000205903"	"ZNF316"	1321,52187483756	0,953473482621666	0,0951995062203197	6,65416773439583	2,84907607352929e-11	2,44789054892544e-09
"ENSG00000012048"	"ENSG00000012048"	"BRCA1"	190,139646045004	-1,75710663287194	0,216527209510455	-6,63707178474745	3,1997584274426e-11	2,73211671441325e-09
"ENSG00000134222"	"ENSG00000134222"	"PSRC1"	55,4450857431945	-2,97496475873879	0,400818293911751	-6,62386123354773	3,49935291076792e-11	2,9694817570572e-09
"ENSG00000186815"	"ENSG00000186815"	"TPCN1"	198,618346082882	-1,9182827687977	0,242868593216114	-6,58085406446723	4,67753527330127e-11	3,94491272405353e-09
